"","nama_kab","NIK"
"1","BANDUNG",421
"2","BANDUNG BARAT",234
"3","BEKASI",756
"4","BOGOR",855
"5","CIAMIS",110
"6","CIANJUR",264
"7","CIREBON",359
"8","GARUT",146
"9","INDRAMAYU",166
"10","KARAWANG",473
"11","KOTA BANDUNG",2387
"12","KOTA BANJAR",67
"13","KOTA BEKASI",809
"14","KOTA BOGOR",675
"15","KOTA CIMAHI",356
"16","KOTA CIREBON",380
"17","KOTA DEPOK",667
"18","KOTA SUKABUMI",219
"19","KOTA TASIKMALAYA",187
"20","KUNINGAN",177
"21","MAJALENGKA",258
"22","PANGANDARAN",27
"23","PURWAKARTA",221
"24","SUBANG",133
"25","SUKABUMI",204
"26","SUMEDANG",1145
"27","TASIKMALAYA",84
